abandon,放弃+放纵
colander,滤器+漏勺
cold-blooded,[生]冷血的+残酷的
collaborate,合作+协作+通敌
collage,拼贴画
collapse,坍塌+塌陷;虚脱+晕倒
collar,衣领+戴在动物颈部的项圈
collate,对照+核对
collateral,平行的+旁系的+担保品
collected,泰然自若的
collection,收藏品
collision,碰撞+冲突
colloquial,口语的+口头的
colloquium,学术讨论会
collude,串通+共谋
colon,冒号
colonize,建立殖民地
colonnade,柱廊
colony,菌群+殖民地
coloration,着色法+染色法+颜色+色泽
colossal,巨大的+庞大的
colossus,巨人+巨型雕像
coltish,似小马的+不受拘束的
coma,昏迷状态
comatose,昏迷的
combat,格斗+搏斗
combustible,易燃的+易激动的
comedienne,说笑话、演滑稽剧等的女演员
comely,动人的+美丽的
comic,可笑的+喜剧的+喜剧演员
comity,礼让+礼仪
comma,逗号
commemorate,纪念(伟人、大事件等)
commence,开始+倡导
commencement,开始+(大学的)毕业典礼
commensurate,同样大小的+相称的
commentary,实况报道+(对书等的)集注
commingle,搀和+混合
commission,委托+佣金
commit,托付+承诺+犯罪
committed,(对事业+本职工作等)尽忠的
commodious,宽敞的
commodity,商品
commonplace,平常的
commonsense,具有常识的
commonwealth,共和国+联邦
commotion,骚动+动乱
communal,全体共用的+共享的
commune,公社+与某人亲密地交谈
communicate,传送信息+沟通
commute,交换+坐公交车上下班
compact,结实的+简洁的+合同+协议
companion,同伴+同伙+受雇的陪伴人
comparison,比较+对照+比喻
compartment,隔间+车厢
compass,指南针+罗盘+界限+范围
compassion,同情+怜悯
compassionate,有同情心的
compatible,和谐共处的+相容的
compatriot,同胞+同国人
compel,强迫
compelling,引起兴趣的
compendium,简要+概略
compensate,补偿+赔偿
compensatory,补偿性的+报酬的
compete,竞争+对抗
competence,胜任+能力
compile,汇集+编辑
complacency,满足+安心
complacent,自满的+得意的
complaisance,彬彬有礼+殷勤+柔顺
complaisant,顺从的+讨好的
complementary,互补的
compliance,顺从+遵从
compliant,服从的+顺从的
complicate,使某事复杂化
compliment,恭维+称赞
comply,遵循+顺从
component,成分+零部件
compose,写+创作+组成
composed,镇定的+沉着的
composer,作曲家
compost,混合肥料
composure,镇静+沉着+自若
compound,复合物+搀和
comprehend,理解+包括
comprehensible,能充分理解的
comprehensive,全面的+综合的
compress,压缩+浓缩
compromise,妥协+危害
compulsion,强迫+难以抗拒的冲动
compunction,懊悔+良心不安
concatenate,连结+连锁
concave,凹的
conceal,隐藏+隐瞒
concede,承认(为正确)+让步
conceit,自负+自大
conceive,想像+构想+怀孕
concentrate,集中+浓缩
conception,概念+开始
concerto,协奏曲
concession,让步
conciliate,安抚+驯服
conciliatory,抚慰的+调和的
concise,简洁的
conclave,秘密会议
conclusive,最后的+结论的+确凿的+消除怀疑的
concomitant,伴随而来的
concord,和睦+公约
concrete,具体存在的+混凝土
concur,意见相同+一致
concussion,脑震荡+强烈震动
condemn,极力谴责+判刑
condense,浓缩
condescend,屈尊+俯就
condescending,谦逊的+故意屈尊的
condone,宽恕+原谅
conducive,有助于…的
conduct,品德+行为+领导+引导
conduit,渠道+引水道+水管
cone,松果+圆锥体
confection,甜食+糖果
confederacy,联盟或同盟
confer,讨论+商谈+赠予
conference,讨论会+协商会
confess,承认+供认
confide,信赖+倾诉
confidence,信任+自信+信心
confidential,机密的
configuration,结构+配置+轮廓
confine,限制+禁闭
confirm,证实+证明
confiscate,没收+充公
conflagration,建筑物或森林大火
conflate,合并
conflict,斗争+战斗+冲突+抵触
conform,(to)符合或遵守公认的规则
conformist,尊奉者+英国国教徒
conformity,一致+遵从+顺众
confound,使迷惑+搞混
confront,面临+对抗
congeal,冻结+凝固
congenial,意气相投的+性情好的
congest,使拥挤+充血
conglomerate,集聚成团
congregate,聚集+集合
congruent,全等的+一致的
congruous,一致的+符合的+[数]全等的
conifer,针叶树
conjecture,推测+臆测
conjoin,使结合
conjunction,联合+连词
conjure,恳求+祈求+变魔术+变戏法
connive,默许+纵容
connoisseur,鉴赏家+行家
connotation,言外之意+含蓄义
conquer,以武力征服
conquest,征服+战利品
conscience,良心+是非感
conscientious,尽责的+小心谨慎的
conscript,强行征兵+征召
consensus,意见一致
consent,同意+允许
consequence,结果+重要性+价值
consequential,傲慢的+自以为是的
conservative,保守的+守旧的
conservatory,温室+音乐学院
conserve,保全+保存
considerable,相当多的+值得考虑的
consign,托运+托人看管
consistency,一致性+坚实度+可靠性+不矛盾
consistent,前后一致的
console,安慰+抚慰
consolidate,巩固+(使)坚强+合并
consolidation,合并+巩固
consonant,调和的+一致的
conspicuous,显著的+显而易见的
conspiracy,共谋+阴谋
conspire,阴谋+共谋
constant,稳定的+不变的; 常数
constellation,星座+星群
consternation,大为吃惊+惊骇
constituent,成分+选区内的选民
constitute,组成+构成+建立
constitution,宪法+体质
constitutional,章程的+法规的+素质上的+本质的
constrain,束缚+强迫+限制
constrained,束缚的+节制的
constraint,强制+强迫+对感情的压抑
constrict,压缩+收缩
construct,建筑+构成
construe,解释+翻译
consul,领事
consummate,完全的+完善的+完成
contact,接触+互通信息
contagious,传染的+有感染力的
contain,包含+含有+控制+阻止+遏制
containment,阻止+遏制
contaminate,使…受污染
contemplate,深思
contempt,轻视+鄙视
contemptible,令人轻视的
contemptuous,鄙视的+表示轻蔑的
contend,与对手竞争+据理力争
content,知足的+满意的+内容+满意
contented,心满意足的
contention,争论+论点
contentious,好辩的+善争吵的
contest,竞争+对…表示怀疑
context,(语句等的)上下文
contiguous,接壤的+接近的
continent,自制的+大陆
contingent,意外的+视情况或条件而定的
continuation,继续+延续
contort,(使)扭曲(deform)+曲解
contraband,违禁品+走私货
contract,合同+订合同+收缩
contradict,反驳+驳斥
contradictory,反驳的+反对的+抗辩的
contrast,对比
contravene,违背(法规+习俗等)
contrite,悔罪的+痛悔的
contrition,悔罪+痛悔
contrive,计划+设计
contrived,不自然的+做作的
control,实验对照组
controversial,引起或可能引起争论的
controvert,反驳+驳斥
contumacious,违抗的+不服从的
conundrum,(答案有双关意义的)谜语+难题
convalesce,(病)康复+复原
convalescent,康复中的(病人)
convenience,便利+有益+方便(的用具+机械等)
conventional,因循守旧的+传统的
converge,会聚+集中于一点
convergent,会聚的
conversant,精通的+熟知的
converse,谈话+逆向的相反的事物
convert,使改变(信仰等)+改变信仰的人
convertible,可转换的+敞篷车
convex,凸出的
convey,运载+运送+表达
convict,定罪+罪犯
conviction,判罪+坚信
convince,使某人确信+说服
convivial,欢乐的+狂欢的
conviviality,欢乐+交游
convoke,召集
convoluted,旋绕的+费解的
convulse,使震动+震惊
convulsion,骚动+痉挛
coop,(鸡)笼+栏
cooperate,与他人合作
cooperative,联营的+合作的+愿意协助的
coordinate,同等物+坐标+使各部分协调; 同等的
copious,丰富的+多产的
cord,考得(木材堆的体积单位+等于128立方英尺+3.6246立方米)+绳索
core,果心+核心)+去掉某物的中心部分
cornucopia,象征丰收的羊角(羊角装饰器内装满花、果、谷物等以示富饶)
coronation,加冕
corporate,团体的+共同的
corporeal,肉体的+身体的+物质的
corpuscle,血球+细胞
corral,(牛、马等)畜栏
correspondent,符合的+记者
corroborate,支持或证实+强化
corrode,腐蚀+侵蚀
corrosive,腐蚀性的+腐蚀的+蚀坏的
corrugate,(使)起波浪形+起皱纹
corrugated,起皱纹的
corrupt,堕落的+腐败的+文体有错误的
cosmic,宇宙的
cosmopolitan,世界主义者+四海为家的人
cosmopolitanism,世界性+世界主义
cosmos,宇宙
cosset,宠爱+溺爱
costume,服装+剧装
coterie,(有共同兴趣的)小团体
coterminous,毗连的+有共同边界的
cougar,美洲豹
countenance,支持+赞成+容忍+表情
counteract,消除+抵消
counterbalance,起平衡作用
counterfeit,伪造+仿造
countermand,撤回(命令)+取消(订货)
counterpart,相对应或具有相同功能的人或物
counterproductive,事与愿违的
coup,意外而成功的行动
court,法庭+法院+宫廷+朝廷+献殷勤+追求
covenant,契约+立书保证
covert,秘密的+隐密的
covet,贪求+妄想
cow,威胁
coward,胆小鬼
cower,畏缩+蜷缩
coy,腼腆的+忸怩的
cozen,欺骗+ 哄骗
crab,蟹+螃蟹+抱怨+发脾气
crabbed,暴躁的
crack,爆裂声+裂缝+裂开+破解+破译
craft,行业+手艺
cram,填塞+塞满+临时抱佛脚+为考试而学习
cramp,铁箍+夹子+把…箍紧
cranky,怪癖的+任性的+不稳的
crass,愚钝的+粗糙的
crate,篓+板条箱
crater,火山口+弹坑
cravat,领巾+领结
craven,懦弱的+畏缩的
craving,强烈的愿望
crayon,彩色腊笔、粉笔或其绘画
crease,折缝+皱痕
credence,相信+信任
credible,可信的+可靠的
credit,赊购+信任+(电影)片头字幕
credulous,轻信的+易信的
creek,小湾+小溪
creep,匍匐前进+悄悄地移动
crescendo,(音乐)渐强+高潮
crest,山顶+浪尖+羽冠
crestfallen,挫败的+失望的
cringe,畏缩+谄媚
cringing,谄媚(的)+奉承(的)
criteria,评判标准
criterion,评判的标准+尺度
critic,批评者
critical,挑毛病的+关键的+危急的
critique,批评性的分析
croak,蛙鸣声+发牢骚+抱怨
crochet,钩针织物+用钩针编织
crockery,陶器+瓦器
cronyism,任人唯亲+对好朋友的偏袒
crook,使弯曲+钩状物
cross,生气的
crouch,蹲伏+弯腰
crown,加冕+使成王+居…之顶
crucial,决定性的
crudity,粗糙+生硬
crumb,饼屑+面包屑+碎裂的东西
crumble,弄碎+崩毁
crumple,弄皱+破裂
crusade,维护理想、原则而进行的运动或斗争
crust,硬的表面+(一片)面包片+地壳
crutch,拐杖+支撑
crux,关键+症结所在
cryogenic,低温的+制冷的+低温学的
cryptic,秘密的+神秘的
cub,幼兽+年轻无经验的人
cubicle,大房间中隔出的小室
cue,暗示+提示+暗示+提示
cuisine,烹饪
culinary,厨房的+烹调的
culmination,顶点+结果
culpable,有罪的+该受谴责的
cult,宗派+崇拜
cultivate,种植+向…讨好
cultivated,耕种的+栽植的+有修养的
cumbersome,笨重的
cumulus,积云
cunning,善于骗人的+灵巧的+欺诈行为
cupidity,贪婪
curator,(博物馆等)馆长
curb,路缘+(街道的)镶边石+马勒+控制
curdle,使凝结+变稠
curmudgeon,脾气暴躁之人
curriculum,(全部的)课程
cursory,粗略的+草率的
curt,(言词、行为)简略而草率的
curtail,削减+缩短
cushion,坐垫+缓冲
custodian,管理员+监护人
custody,监管+保管
customary,合乎习俗的
cuticle,表皮
cutlery,(刀、叉、匙等)餐具
cyclical,循环的
cyclone,气旋+飓风
cylinder,圆柱
cynic,犬儒主义者+愤世嫉俗者
cypress,柏树
cytology,[生]细胞学
dabble,涉足+浅赏
daft,傻的
dagger,短剑+匕首
daguerreotype,(早期)银版照相
dainty,精美食品+娇美的+挑剔的
dally,闲荡+嬉戏
damp,减弱+制止振动+潮湿的
damped,减震的+压低(声音)的
dampen,(使)潮湿+使沮丧+泼凉水
dandy,花花公子+好打扮的人
dapper,整洁漂亮的+动作敏捷的
dappled,有斑点的+斑驳的
daredevil,胆大的(人)+冒失的(人)
dart,飞镖+急驰+投射
daunt,使胆怯+使畏缩
dawdle,闲荡+虚度
deactivate,使无效
deaden,减低某物的力量或强度
deadlock,相持不下+僵局
deadpan,无表情的(脸)
dealing,生意行为+作风
dearth,缺乏+短缺
debacle,解冻+崩溃
debark,下船+下飞机+下车+卸载
debase,贬低+贬损
debate,正式的辩论+讨论
debilitate,使衰弱
debouch,流出+进入(开阔地区)
debrief,向…询问情况+听取汇报
debris,废墟+残骸
debunk,揭穿真相+暴露
debut,初次登台+初次露面
decadence,衰落+颓废
deceit,欺骗+欺诈
decency,正派+端庄
decent,适当的+可接受的+得体的
deception,欺骗手段
decibel,分贝(音量的单位)
deciduous,非永久的+短暂的+脱落的+落叶的
decimate,毁掉大部分+大量杀死
decipher,解开(疑团)+破译(密码)
declaim,高谈阔论
declamation,雄辩+高调
decline,拒绝+变弱+变小+消减
decode,译解(密码)
decompose,(使)腐烂
decomposition,分解+腐烂+崩溃
decorate,装饰某事物
decorum,礼节+礼貌
decrepit,衰老的+破旧的
decry,责难+贬低(价值)
dedication,对某事业或目的的忠诚
deduce,演绎+推断
deduct,减去+扣除+演绎
deductive,推理的+演绎的
deed,行为+(土地或建筑物的)转让契约、证书
deface,损坏
default,拖债+未履行的责任
defeatist,失败主义者
defect,缺点+瑕疵+变节+脱党
defendant,被告
defense,防御+防护
defer,推延+听从
deference,敬意+尊重
deferential,顺从的+恭顺的
defiance,挑战+违抗+反抗
deficiency,缺陷+不足
deficit,不足+赤字
defile,弄污+弄脏+(山间)小道
defined,定义的+清晰的
definite,清楚的+明确的
definition,(轮廓等)清晰+定义
definitive,明确的+有权威的
deflated,灰心丧气的
deflect,偏离+转向
defoliator,落叶剂
deforestation,采伐森林
defraud,欺骗某人
deft,灵巧的+熟练的
defuse,从(爆破装置)中卸除引信+缓和紧张状态或危急局面
defy,违抗+藐视
degradation,降低身份+受辱
dehydrate,除去水分+脱水
deify,奉为神+崇拜
deign,屈尊+惠允(做某事)
dejected,沮丧的+失望的
delectable,赏心悦目的
delegate,代表+委派…为代表+授权
deleterious,(对身心)有害的+有毒的
deliberate,深思熟虑的+故意的+慎重考虑
delicacy,细嫩+精致+优雅
delicate,娇嫩的+精致的+优美的
delimit,定界+划界
delineate,描画
delinquency,失职+过失
delinquent,疏忽职务的
delirious,精神错乱的
delirium,精神错乱
delta,三角洲
delude,欺骗+哄骗
deluge,大洪水+暴雨
delusion,欺骗+幻想
delve,深入探究+钻研
demagogue,蛊惑民心的政客
demand,要求+苛求
demanding,苛刻的+过分要求的
demean,贬抑+降低
demise,死亡+财产转让
demography,人口统计+人口学
demolish,破坏+拆除
demolition,破坏+毁坏
demonstrate,证明+论证+示威
demonstrative,证明性的+喜怒形于色的
demoralize,使士气低落
demote,降级+降职
demotic,民众的+通俗的
demur,表示异议+反对
demystify,弄清楚
den,兽穴+窝
denigrate,污蔑+诽谤
denim,粗斜纹棉布
denizen,居民+外籍居民
denomination,命名+(长度+币值的)单位
denote,表示+指示意义
denouement,(小说的)结尾+结局
denounce,指责
dent,缺口+凹痕+弄凹
denture,假牙
denude,脱去+剥蚀+剥夺
denunciation,谴责+斥责
depict,描绘+描画
deplete,倒空+耗尽
deplore,悲悼+哀叹
deport,(将外国人、罪犯等)驱逐出境
deportation,驱逐出境
depose,免职+作证
deposition,免职+沉积+作证
depraved,堕落的+腐化的
depravity,堕落+恶习
deprecate,反对+轻视
depreciate,轻视+贬值
depressed,消沉的+凹陷的
depression,忧愁+消沉+数量减少
deprivation,剥夺+缺乏
deputy,代表+副警长
deracinate,根除+杜绝
deranged,精神错乱的+有精神病的
derelict,荒废的+玩忽职守的+被遗弃的人
dereliction,遗弃+弃置
deride,嘲弄+愚弄
derivation,发展+起源+词源
derivative,派生的+无创意的
dermatologist,皮肤病学家
derogate,贬低+诽谤
derogatory,不敬的+诽谤的
descend,下来+下降
descendant,后代+后裔
descent,降落+侵袭+血统
descry,远远看到+望见
desecrate,玷辱+亵渎
desert,放弃+离弃
deserted,荒芜的+无人的
deserter,背弃者+逃亡者
desertion,离弃+遗弃
desiccate,(使)完全干涸+脱水
designation,指定+名称+称呼
designer,设计者+构思者
desirable,值得要的
desperate,不顾死活的+拼命的
despicable,可鄙的+卑劣的
despise,鄙视+藐视
despondent,失望的+意气消沉的
despot,暴君
despotic,专横的+暴虐的
despotism,专制+暴政
destitution,匮乏+穷困
desultory,不连贯的+散漫的
detach,分离+分遣
detached,分开的+超然的
detain,拘留+使延迟
detection,查出+探获
deter,威慑+吓住+阻止
detergent,净化的+清洁剂
deteriorate,(使)变坏+恶化
deterioration,恶化+堕落
determinant,决定因素+决定性的
determination,决心+确定+预测
detest,深恶+憎恶
detonation,爆炸+爆炸声
detour,弯路+绕行之路
detraction,贬低+诽谤
detrimental,损害的+造成伤害的
detritus,碎屑+废墟
devastate,摧毁+破坏
deviant,越出常规的
deviate,越轨+脱离
deviation,背离
devious,不正直的+弯曲的
devise,发明+设计+图谋+遗赠给
devoid,空的+缺少的
devoted,投入的+热爱的
devotee,爱好者
devotional,献身的+崇拜的
devour,吞食+贪婪地享受
devout,虔敬的+忠诚的+忠心的
dexterity,纯熟+灵巧
dexterous,灵巧的+熟练的
diabetes,糖尿病
diabolical,恶毒的+狠毒的
diagnose,判断+诊断
diagonal,对角的+对角线
diagram,图解+图表
dialect,方言
diameter,直径
diaphanous,精致的+透明的
diatribe,(口头或书面猛烈的)抨击
dictate,口述+命令
didactic,教诲的+说教的
die,金属模子+印模
diehard,顽固分子
differentiate,辨别+区别
diffident,缺乏自信的
diffuse,散布+(光等)漫射+漫射的+散漫的
digestion,消化+吸收
digit,手指+足趾+数字+数码
dignity,尊严+尊贵
digress,离题
digression,离题+题外话
dilapidate,(使)荒废+(使)毁坏
dilapidated,破旧的+倒塌的
dilate,(身体某部位)张大+扩大
dilatory,慢吞吞的+磨蹭的
dilemma,困境+左右为难
dilettante,半瓶醋+业余爱好者
diligence,勤勉+勤奋
dilute,把(液体)弄稀+弄淡
dim,使暗淡+使模糊
dimension,维度+尺寸
diminution,减少+缩减
dimple,酒窝+笑靥
din,喧闹声+嘈杂声
dingy,肮脏的+褪色的
diplomatic,外交的+圆滑的
dire,可怕的
dirge,哀歌
disabuse,打消(某人的)错误念头+纠正
disaffect,使不满+使不忠
disagreeable,讨厌的+乖戾的
disarm,使…解除武器+使…缓和
disarray,混乱+漫无秩序
disaster,灾难+大不幸
disbar,取消律师资格
disburse,支付+支出
discard,扔掉+抛弃
discern,(费劲)识别+看出
discernible,可识别的+依稀可辨的
discerning,识别力强的
discharge,流出+释放+解雇+履行义务
disciple,信徒+弟子
discipline,训练+训导+纪律+惩罚+处分
disclaim,放弃权利+拒绝承认
disclose,使某物显露
discography,唱片分类目录+录音音乐研究
discombobulate,扰乱+使困惑
discombobulated,扰乱的+打乱的
discomfit,使懊恼+使难堪
discomfited,困惑的+尴尬的
discomfiture,狼狈+难堪
discompose,使失态+慌张
disconcert,使…尴尬
discord,不和+纷争
discount,折扣
discourse,演讲+论述
discredit,怀疑+丧失名誉
discreet,言行谨慎的
discrepancy,不同+矛盾
discrete,个别的+不连续的
discretion,谨慎+审慎
discretionary,自由决定的
discriminate,区分
discriminatory,歧视的+差别待遇的
discursive,散漫的+无层次的
disdain,轻视+鄙视
disembodied,无实体的+空洞的
disenchant,对…不再抱幻想+使清醒
disengage,脱离+解开
disentangle,解决+解脱+解开+澄清
disfigure,毁容
disgorge,呕出+(水)流走
disgruntle,使不满意
disguise,假扮+掩饰
disgust,反感+厌恶
disillusion,梦想破灭+醒悟
disinfect,杀菌+消毒
disinfectant,消毒剂
disinter,挖出+挖掘
disinterested,公正的+客观的
disjunction,分离+分裂
disjunctive,分离的+相反的
dislocate,使脱臼+把…弄乱
dislodge,逐出+取出
dismal,使人悲伤的+阴沉的
dismantle,拆除
dismay,沮丧+气馁+使气馁
disparage,贬抑+轻蔑
disparate,迥然不同的
disparity,不同+差异
dispassionate,平心静气的
dispatch,派遣+一下子做完+吃完+迅速
dispel,驱散+消除
dispensable,不必要的+可有可无的
dispense,分配+分发
disperse,消散+驱散
displace,换置+使某人某物离开原位
disposable,一次性使用的+可动用的
disposal,清除+处理
dispose,使倾向+处理掉
disposed,愿意的+想干的
disposition,处理+天性+气质
disproof,反证+反驳
disprove,证明…有误
dispute,争论
disregard,疏忽+漠视
disrepute,名声不好
disrupt,弄乱+扰乱
disruptive,制造混乱的
dissect,解剖
dissemble,隐藏+掩饰(感受、意图)
disseminate,散布+传播
dissent,不同意+持异议
dissertation,专题论文
dissident,唱反调者
dissimulate,隐藏+掩饰
dissipate,(使)驱散+浪费
dissociation,分离+脱离关系
dissolute,放荡的+无节制的
dissolve,使固体溶解
dissonant,不和谐的+不一致的
dissuade,劝阻+阻止
distant,疏远的+冷淡的
distend,(使)膨胀+胀大
distension,膨胀
distill,蒸馏
distinct,清楚的+明显的
distinction,区别+差别+知名
distinctive,出众的+有特色的
distinguished,著名的+卓越的
distort,扭曲+弄歪
distract,分心+转移+使发狂+困扰
distracted,心烦意乱的+精神不集中的
distraught,心神狂乱的
distress,痛苦+悲痛
distribute,分发+分配某事物
district,地区+行政区+（美国各州的）众议院选区
ditty,小曲+小调
diurnal,白昼的+白天的
diva,歌剧中的首席女主角
diver,潜水员
diverge,分歧+分开
divergent,分叉的+岔开的+背道而驰的
diverse,不同的+多样的
diversity,多样+千变万化
divert,使某事物转向+使娱乐
divest,卸下盛装+剥夺
divestiture,脱衣+卸下装饰+剥夺财产+取消称号
divine,推测+预言
divulge,泄露+透露
docile,驯服的+听话的
doctrinaire,空论家+教条的+迂腐的
doctrine,教义+主义+学说
document,为…提供书面证明
dodder,蹒跚+摇摆
dodge,闪开+躲避
doff,脱掉
dogged,顽强的
doggerel,歪诗+打油诗
dogma,教条+信条
dogmatism,教条主义+武断
doldrums,赤道无风带+情绪低落
doleful,忧愁的+消沉的
dolorous,悲哀的+忧愁的
dolt,傻瓜
domain,领土+领域
dome,圆顶屋
domesticate,驯养
domicile,住处+住所
dominant,显性的+优势的
dominate,控制+支配
domination,控制+支配+管辖
donate,捐赠+赠送
donor,捐赠者+赠送者+献血者
doodle,胡乱画+混时间
dormancy,休眠状态
dormant,冬眠的+静止的
dorsal,背部的
dose,剂量+一剂
dossier,卷宗+档案
dote,溺爱+昏聩
doting,溺爱的
dour,严厉的+脸色阴沉的
douse,把…浸入水中+熄灭
down,绒毛+汗毛
downplay,贬低+不予重视
downpour,暴雨
down-to-earth,脚踏实地的+实际的
doyen,老前辈
drab,枯黄色的+无聊的
draconian,严厉的+严酷的
draft,草稿+草案+汇票
draftsmanship,起草术+制图术
drain,排出沟外+喝光
drainage,排水+污水
drastic,猛烈的+激烈的
drawbridge,吊挢
drawl,慢吞吞地说话（态度）
dreary,沉闷的+乏味的
dregs,糟粕+沉淀废物
drench,使湿透
drenched,湿透的
drill,钻+钻床
drivel,说废话
drizzle,下毛毛雨+毛毛雨
drizzly,毛毛细雨的
droll,古怪的+好笑的
drone,嗡嗡地响+单调地说+单调的低音
droop,低垂+沮丧+萎靡
droplet,小水滴
dross,浮渣+糟粕
drought,干旱+干旱时期
drove,畜群+人群
drudgery,苦工+苦活
dual,双重的
dubious,可疑的+名声不大好的
duckling,雏鸭+小鸭
duct,管道+槽
duel,决斗
duet,二重唱
dull,不鲜明的+迟钝的+变迟钝
dummy,人体模型+假人
dune,沙丘
dupe,易上当的人
duplicitous,搞两面派的+奸诈的
duplicity,欺骗+口是心非
duration,持续的时间
duress,胁迫
dutiful,恭敬顺从的+尽职的
dwarf,侏儒+矮小的植物+使变矮小
dwelling,住处
dwindle,变小
dynamic,动态的+有活力的
dynamo,发电机
dysfunctional,功能失调的
dyslexia,阅读障碍
dyspeptic,消化不良的+不高兴的
earnest,认真的
earplug,耳塞
earring,耳环+耳饰
earshot,听力所及范围
earsplitting,震耳欲聋的
earthly,现世的+尘世的
earthy,粗俗的+粗陋的
easel,黑板+画架
eavesdrop,偷听+窃听
ebb,退潮+衰退
ebullience,兴冲冲+亢奋
eccentric,古怪的+反常的+古怪的人
eclectic,折衷的+综合性的
eclecticism,折衷主义
ecologist,生态学家+生态学者
economical,经济的+节约的
ecstasy,狂喜+激情状态
ecstatic,狂喜的+心花怒放的
eddy,漩涡+涡流
edifice,宏伟的建筑(如宫殿、教堂)
edify,陶冶+启发
efface,擦掉+抹去
effervesce,冒泡+热情洋溢
effete,无生产力+虚弱的
efficacious,有效的
efficacy,功效+有效性
effluvia,气味+恶臭+废料
effrontery,厚颜无耻
effulgent,灿烂的
egalitarian,主张人人平等的
egocentric,利己的
egotist,自私自利者
egregious,(缺点等)过分的+惊人的
egress,出去+出口
elaborate,精致的+复杂的+详尽地说明+阐明
elaboration,详细的细节+详尽阐述
elated,得意洋洋的+振奋的
elbow,肘
elegy,哀歌+挽歌
elementary,初级的
elephantine,笨拙的+庞大的
elevate,将…举起
elicit,引出+探出
eligible,合格的
eliminate,除去+淘汰
elite,精华+中坚
ellipsis,省略
elliptical,椭圆的+晦涩的+省略的
elm,榆树
elocution,演说术
elongate,延长+伸长
eloquence,雄辩+精彩演讲
elucidate,阐明+说明
elude,逃避+搞不清
elusive,难懂的
emaciate,使…瘦弱+消瘦
emaciation,消瘦+衰弱
emanate,散发+发出+发源
emancipate,解放+解除
embargo,禁运令+封港令
embarrass,使忸怩+使难堪
embed,牢牢插入+嵌于
embellish,装饰+润饰
embezzlement,贪污+盗用
emblematic,作为象征的
embody,(作品等)表达+体现
embolden,鼓励
emboss,加浮雕花纹于+使凸出
embrace,拥抱+包含
embroider,刺绣+修饰
emend,订正+校订
emergency,紧急事件
emigrate,自本国移居他国
eminence,卓越+杰出
eminent,著名的+显著的
emissary,密使+特使
emit,放射(光、热、味等)
emollient,润肤剂
emote,激动地表达感情
empathy,心意相通+(感情等)融为一体
emphatic,重视的+强调的
empirical,经验的+实证的
empiricism,经验主义
empower,授权给某人采取行动
empyreal,天空的
emulate,努力赶上或超越
emulsify,使乳化
enact,制定(法律)+扮演(角色)
enamel,珐琅+瓷釉
enamored,珍爱的+喜爱的
encapsulate,装入胶囊+压缩
enchant,使迷醉+施魔法于
enclosure,圈地+围占
encomiast,赞美者
encomium,赞颂+颂辞
encompass,包围+围绕
encounter,遭遇
encroach,侵占+蚕食
encumber,妨害+阻碍
encyclopedia,百科全书
endearing,讨人喜欢的
endemic,地方性的
endorse,背书+赞同
endow,资助+捐助
endure,忍受+忍耐
enduring,持续的
enervate,使虚弱+使无力
enfeeble,使衰弱
enfetter,给…上脚镣+束缚+使受制于
enflame,使愤怒或激动
engaged,忙碌的+使用中的
engaging,迷人的+美丽动人的
engender,产生+引起
engrave,在(硬物)上雕刻
engross,全神贯注于
engulf,吞噬
enhance,提高+增加+改善
enjoin,命令+吩咐
enlighten,启发+开导+教导+授予…知识
enlightening,有启迪作用的+使人领悟的
enlist,(使)入伍从军+征募
enliven,使…更活跃
enmesh,通常被动)绊住+陷入网
enmity,敌意+仇恨
ennui,倦怠+无聊+使无聊
enormity,极恶+暴行+巨大
enormous,极大的+巨大的
enrage,激怒+触怒
enrapture,使狂喜+使高兴
ensconce,安置+安坐
ensemble,全体+大合唱
ensign,舰旗(船上表示所属国家的旗帜)
ensue,继而发生
ensure,确保+担保
entail,需要+需求+必须
entangle,使纠缠+卷入
enterprise,公司+事业单位+进取心
enthralling,迷人的+吸引人的
entice,怂恿+引诱
entirety,整体+全面
entitle,使有权(做某事)
entity,实体+统一体
entrance,使出神+使入迷
entrancing,使人入神的
entreat,恳求
entreaty,恳求+哀求
entrée,正餐前的开胃菜+获准进入的权利
entrepreneur,企业家+创业人
entrust,委托+托付
entry,条目+登录+报关手续+入口
enumerate,列举+枚举
enunciate,发音+(清楚地)表达
environ,包围+围绕
envision,想象+预想
enzyme,酵素+酶
epaulet,肩章+肩饰
ephemeral,朝生暮死的+生命短暂的
epic,叙事诗+史诗+英雄的+大规模的
epicure,美食家
epidemic,传染性的+流行性的
epidermis,表皮+外皮
epigram,讽刺短句+警句
epilogue,收场白+尾声
episodic,偶然发生的+分散性的
epitaph,墓志铭
epithet,(贬低人的)短语或形容词
epitome,典型+梗概
epitomize,概括+摘要
epoch,纪元+重大的事件
equable,稳定的+不变的+(脾气)温和的
equanimity,镇定+沉着
equate,认为…相等或相仿
equation,等式+等同+相等
equator,赤道
equilibrium,平衡
equine,马的+似马的
equity,公平+公正
equivalent,相等的+等值的
equivocate,模棱两可地说+支吾其词+说谎
equivocation,模棱两可的话+含糊话
eradicate,根除+扑灭
erase,擦掉+抹去
erasure,擦掉+擦痕
erect,竖立的+笔直的+直立的
err,犯错误+出错
errand,差使+差事
erratic,反复无常的+古怪的
ersatz,代用的+假的
erstwhile,从前的+过去的
erudite,博学的+饱学的
